video_file,status,target,approx_time_s,notes
VID_20260917_153727.mp4,safe,electric_bicycle,,目标向右侧通过，未进入行走路线
VID_20260917_153750.mp4,safe,electric_bicycle,,目标在前方减速/侧向通过，未形成明确冲突
VID_20260917_153814.mp4,safe,electric_bicycle,,目标接近但在拍摄者前方保持可避让距离
VID_20260917_153840.mp4,safe,electric_bicycle,,目标从左侧横向通过，未进入行走路线
VID_20260917_153908.mp4,safe,electric_bicycle,,目标在远处侧向通过
VID_20260917_153935.mp4,safe,electric_bicycle,,目标从右侧经过，未进入行走路线
VID_20260917_153948.mp4,safe,,,画面中未见进入行走路线的动态目标
VID_20260917_154023.mp4,safe,,,画面中未见进入行走路线的动态目标
VID_20260917_154051.mp4,safe,,,画面中未见明确冲突目标
VID_20260917_154108.mp4,safe,,,画面中未见明确冲突目标
VID_20260917_154144.mp4,safe,electric_bicycle,,目标同向行驶，未进入冲突路线
VID_20260917_154208.mp4,safe,electric_bicycle,,目标从左侧通过，保持侧向间距
VID_20260917_154223.mp4,safe,,,已由拍摄者确认安全
VID_20260922_164502.mp4,safe,electric_bicycle,,前方为停放车辆，未见动态切入
VID_20260922_164541.mp4,safe,electric_bicycle,,左侧为停放车辆，行进方向保持畅通
VID_20260922_164629.mp4,safe,electric_bicycle,,停放车辆在侧边，未进入行走路线
VID_20260922_164658.mp4,safe,electric_bicycle,,停放车辆在侧边，未进入行走路线
VID_20260922_164819.mp4,safe,electric_bicycle,,停放车辆在侧边，未进入行走路线
VID_20260922_164852.mp4,safe,electric_bicycle,,前方侧边停放车辆，未形成冲突
VID_20260922_165015.mp4,safe,multiple,,多辆车停放在两侧，中央路线畅通
VID_20260922_165051.mp4,safe,,,静态物体未影响实际行进路线，已确认安全
VID_20260922_165129.mp4,safe,multiple,,多辆车停放在两侧，未见动态切入
VID_20260922_165309.mp4,safe,multiple,,两侧为停放车辆，中央路线未被占用
VID_20260922_165429.mp4,safe,electric_bicycle,,远处目标沿路线通过，未形成明确冲突
VID_20260922_165520.mp4,safe,multiple,,两侧停放车辆，未见进入行走路线的目标
VID_20260922_165928.mp4,safe,,,未见明确动态冲突目标
VID_20260922_170001.mp4,safe,multiple,,车辆停放在两侧，中央路线保持畅通
VID_20260922_170135.mp4,safe,,,未见明确动态冲突目标
VID_20260922_170259.mp4,safe,electric_bicycle,,目标在侧边停放，未进入行走路线
VID_20260922_170345.mp4,near_miss,electric_bicycle,2.5,目标接近后避开，未发生碰撞
VID_20260922_170405.mp4,near_miss,electric_bicycle,2.5,目标接近后避开，未发生碰撞
VID_20260922_170500.mp4,near_miss,electric_bicycle,4.0,目标接近后改变方向，未发生碰撞
VID_20260922_170525.mp4,conflict,electric_bicycle,3.0,目标明显位于行进方向，属于受控冲突样本
VID_20260922_170741.mp4,safe,electric_bicycle,,车辆停放在侧边，中央路线畅通
VID_20260922_170807.mp4,safe,multiple,,两侧停放车辆，未见动态切入
